"","Hazard","T1_V1","T1_V2","T1_V3","T1_V4","T1_V5","T1_V6","T1_V9","T1_V10","T1_V11","T1_V13","T1_V14","T1_V16","T1_V17","T2_V1","T2_V2","T2_V3","T2_V4","T2_V5","T2_V6","T2_V7","T2_V9","T2_V10","T2_V11","T2_V12","T2_V13","T2_V14","T2_V15"
"159",18,8,5,1,"N","K","Y","E",12,"M",15,3,"R","N",13,13,"N",7,"A",3,28,21,5,"N","N","A",4,4
"166",2,4,7,2,"B","C","N","D",2,"B",10,3,"H","Y",40,12,"Y",10,"C",2,28,20,5,"Y","Y","E",2,10
"172",1,3,4,3,"G","B","Y","D",8,"L",15,1,"E","N",85,11,"Y",12,"A",2,40,17,1,"Y","N","E",2,2
"174",22,5,18,2,"C","K","Y","E",3,"H",10,1,"R","N",53,7,"Y",3,"A",3,31,21,4,"Y","N","E",3,2
"178",2,11,23,1,"N","C","Y","D",7,"L",15,1,"I","Y",47,18,"Y",6,"A",4,34,2,3,"Y","Y","C",4,4
"190",7,14,20,1,"B","C","N","D",12,"B",10,1,"I","N",37,13,"N",4,"B",2,28,18,6,"Y","N","E",2,1
"193",4,5,3,2,"C","K","N","E",3,"H",10,3,"R","N",58,7,"N",5,"A",2,40,7,6,"Y","N","E",2,1
"195",10,9,12,2,"W","H","N","D",7,"A",10,1,"C","N",99,15,"Y",15,"A",2,34,9,1,"Y","N","E",2,9
"196",2,16,18,3,"N","K","Y","E",2,"H",20,1,"J","Y",98,9,"Y",9,"A",1,28,8,6,"Y","Y","E",1,2
"198",4,8,20,2,"C","K","Y","E",12,"H",10,1,"J","N",99,18,"Y",17,"A",2,40,5,3,"Y","N","C",2,9
"203",1,18,3,2,"W","A","Y","D",7,"B",20,1,"I","N",63,6,"Y",3,"B",1,40,5,6,"N","N","B",1,1
"216",1,15,1,1,"N","K","Y","E",12,"H",10,1,"R","N",30,16,"N",6,"A",2,40,20,4,"Y","N","E",2,1
"218",4,6,16,2,"S","I","Y","E",7,"H",20,1,"N","N",89,10,"Y",21,"A",2,40,21,4,"Y","N","E",2,11
"222",1,16,1,1,"N","K","N","E",12,"J",10,3,"R","N",35,12,"N",7,"C",1,40,8,6,"Y","N","E",1,1
"227",6,19,7,5,"N","C","N","D",12,"B",10,1,"D","N",46,18,"N",10,"B",1,25,12,4,"N","N","A",1,1
"232",10,8,11,2,"N","C","N","D",8,"L",10,1,"I","Y",100,18,"N",16,"A",2,40,19,4,"Y","Y","E",4,4
"237",1,15,2,2,"N","C","N","D",8,"B",20,1,"F","N",73,14,"Y",14,"B",2,34,8,6,"N","N","A",2,1
"241",2,17,6,4,"N","A","N","D",3,"B",20,1,"B","Y",78,8,"N",7,"A",2,25,14,4,"Y","Y","E",2,4
"246",7,18,18,6,"B","H","N","E",2,"I",20,3,"K","N",50,9,"Y",6,"B",1,37,13,4,"N","N","E",4,1
"254",4,9,18,1,"B","I","N","E",8,"H",20,1,"K","N",93,17,"Y",16,"A",2,28,20,4,"Y","N","E",2,10
"257",1,14,17,3,"B","I","Y","E",12,"M",20,1,"N","N",42,23,"N",11,"A",3,40,5,3,"Y","N","D",3,3
"266",1,14,18,4,"N","C","N","D",8,"B",10,1,"B","Y",67,15,"N",12,"A",6,28,3,4,"Y","Y","C",7,2
"269",1,1,8,3,"C","A","N","D",2,"A",10,4,"I","N",28,18,"N",12,"B",2,25,21,7,"N","N","E",1,1
"274",2,7,16,2,"N","A","Y","D",8,"B",20,3,"I","N",62,8,"Y",8,"A",2,22,25,6,"Y","N","C",3,7
"279",1,14,19,2,"N","H","Y","D",3,"B",20,1,"E","N",84,11,"N",6,"C",2,31,19,3,"Y","N","E",2,1
"293",3,19,21,1,"N","B","N","D",8,"B",20,1,"E","N",57,22,"Y",8,"A",1,34,9,4,"N","N","A",1,3
"301",5,8,16,2,"N","K","Y","E",2,"H",20,2,"R","N",94,10,"N",11,"A",3,40,1,5,"Y","N","C",3,9
"302",1,13,19,6,"B","C","Y","D",3,"L",10,1,"I","N",41,14,"N",17,"A",2,40,18,2,"Y","N","E",2,8
"303",4,7,10,7,"G","K","N","E",7,"H",10,3,"K","N",73,10,"N",9,"A",2,31,17,7,"Y","N","E",2,1
"304",4,5,18,4,"N","A","Y","B",2,"B",10,1,"E","N",78,10,"Y",7,"A",2,25,5,3,"Y","N","E",4,1
"305",14,8,4,3,"N","K","Y","E",12,"J",10,1,"K","N",70,14,"N",4,"A",2,34,1,6,"Y","N","C",4,4
"313",4,9,3,2,"B","I","N","E",2,"J",15,2,"R","N",73,17,"N",16,"A",2,31,6,7,"Y","N","E",2,12
"322",1,14,15,2,"N","K","Y","E",8,"I",20,1,"R","Y",99,18,"N",15,"A",6,34,14,7,"Y","Y","D",7,11
"323",2,2,19,1,"N","A","N","D",8,"L",15,1,"A","Y",88,13,"N",10,"A",1,37,8,7,"Y","Y","E",1,8
"333",1,15,18,3,"B","H","Y","D",12,"B",15,1,"A","N",51,13,"Y",14,"A",2,31,14,5,"N","N","A",2,6
"340",10,17,8,6,"N","A","N","D",3,"B",10,1,"I","N",19,7,"Y",14,"A",2,22,5,6,"N","N","E",2,3
"345",1,6,7,5,"N","K","N","F",8,"H",20,3,"R","N",65,7,"N",6,"A",2,40,18,6,"N","N","A",4,3
"350",8,1,8,2,"C","A","N","D",12,"D",10,2,"I","N",31,11,"N",5,"A",2,22,21,1,"N","N","E",4,8
"352",1,18,11,2,"N","H","Y","D",12,"B",15,3,"I","N",53,10,"N",6,"A",2,25,5,7,"Y","N","E",4,1
"356",2,9,18,4,"B","C","Y","D",8,"B",10,1,"I","Y",82,12,"N",13,"A",2,37,1,6,"Y","Y","E",3,6
"359",1,13,21,3,"N","C","N","D",3,"L",10,1,"D","N",57,24,"Y",4,"B",1,31,4,3,"N","N","A",1,1
"364",7,1,18,2,"N","K","Y","E",2,"H",20,1,"N","N",41,16,"N",10,"A",2,40,21,7,"Y","N","B",1,2
"366",7,16,1,1,"B","A","N","D",12,"B",10,3,"C","N",39,6,"N",10,"B",2,40,16,6,"N","N","A",4,1
"376",3,1,19,3,"C","A","N","B",8,"L",20,1,"E","N",20,20,"N",17,"A",2,34,21,3,"N","N","B",1,1
"377",7,17,9,5,"N","K","N","E",8,"H",20,1,"K","N",72,7,"Y",4,"C",1,37,13,1,"Y","N","E",1,1
"382",4,7,4,3,"N","K","Y","E",8,"H",20,1,"R","N",17,11,"Y",8,"A",2,25,3,5,"N","N","E",4,3
"383",2,8,15,4,"N","K","Y","E",8,"H",15,1,"R","N",84,10,"N",5,"A",2,40,4,2,"Y","N","E",3,1
"389",14,19,3,1,"N","K","N","E",12,"H",10,1,"J","Y",61,15,"Y",13,"C",2,34,16,6,"Y","Y","E",3,1
"400",1,6,13,1,"B","A","N","D",8,"B",15,3,"B","N",72,9,"N",20,"A",2,40,17,5,"Y","N","E",2,11
"401",1,11,13,1,"N","K","Y","E",8,"J",10,1,"P","N",50,11,"Y",11,"A",2,34,21,6,"Y","N","D",2,4
"403",4,19,21,4,"N","H","Y","D",8,"B",20,1,"E","N",43,18,"N",4,"A",2,40,17,4,"N","N","A",3,2
"404",8,18,13,1,"N","B","Y","D",7,"B",15,1,"I","N",95,13,"Y",13,"A",2,25,19,7,"Y","N","E",2,1
"408",2,7,19,2,"N","A","Y","D",2,"B",20,3,"I","N",34,8,"Y",5,"A",1,34,21,7,"Y","N","C",1,7
"410",3,9,19,5,"B","H","Y","D",3,"B",15,1,"B","N",74,13,"N",19,"A",2,40,17,5,"Y","N","E",2,6
"419",2,8,5,4,"W","C","N","D",8,"B",10,3,"E","N",47,13,"N",5,"C",2,37,12,3,"Y","N","E",2,1
"421",4,10,18,3,"N","H","Y","D",2,"L",20,3,"I","N",1,17,"Y",9,"A",3,25,19,6,"Y","N","E",6,5
"431",7,15,7,4,"N","B","N","D",12,"B",10,1,"B","N",59,9,"Y",6,"B",1,37,14,3,"Y","N","C",3,1
"433",1,8,20,3,"B","I","N","E",7,"H",20,1,"M","N",44,16,"Y",9,"A",2,25,18,5,"Y","N","D",2,4
"436",1,4,8,2,"N","K","N","E",8,"J",10,3,"R","N",58,7,"N",19,"A",2,37,21,6,"Y","N","E",2,8
"437",20,15,15,1,"N","K","Y","E",12,"H",15,1,"K","N",40,12,"N",6,"A",2,40,21,4,"N","N","A",5,3
"444",1,11,19,3,"N","H","Y","E",3,"H",20,1,"K","N",37,12,"N",4,"B",2,31,18,3,"N","N","A",3,1
"450",1,6,2,2,"B","A","N","B",3,"B",10,3,"C","N",48,12,"Y",6,"A",2,40,17,7,"Y","N","E",3,2
"454",1,13,18,6,"N","B","Y","D",8,"B",15,2,"I","N",47,10,"N",16,"A",3,34,12,3,"Y","N","D",3,6
"459",3,12,7,1,"N","H","Y","E",12,"N",20,1,"J","N",23,12,"N",5,"B",2,31,9,3,"N","N","A",4,1
"466",2,2,19,4,"C","A","N","B",12,"B",15,1,"I","N",56,15,"Y",15,"B",1,37,24,6,"Y","N","E",1,8
"469",1,7,5,4,"N","K","Y","F",2,"H",15,1,"K","N",67,8,"Y",5,"A",1,28,10,6,"Y","N","D",1,3
"472",3,9,2,2,"N","C","N","D",12,"L",10,2,"E","N",29,11,"N",3,"B",1,40,12,7,"Y","N","E",1,1
"474",1,19,18,2,"W","I","N","E",12,"H",20,1,"R","N",38,10,"N",16,"A",2,40,7,4,"Y","N","E",2,10
"479",1,8,5,4,"N","H","N","D",12,"A",20,1,"B","N",69,10,"N",6,"A",2,37,23,3,"Y","N","E",2,1
"485",5,2,16,2,"H","K","Y","E",12,"H",20,3,"Q","N",89,16,"N",22,"A",1,40,11,7,"Y","N","D",1,10
"489",4,18,1,1,"N","C","Y","D",8,"B",15,2,"I","N",28,10,"N",6,"A",2,25,11,4,"Y","N","E",2,1
"491",2,8,7,5,"N","K","N","E",3,"H",20,1,"K","N",98,12,"Y",10,"A",4,28,11,2,"Y","N","C",5,5
"492",8,7,21,3,"N","K","N","E",8,"H",10,1,"L","N",71,11,"N",16,"A",1,25,19,3,"Y","N","E",1,10
"494",1,11,19,5,"N","C","Y","D",12,"L",20,1,"I","N",50,18,"N",3,"B",2,37,17,7,"N","N","E",3,1
"496",15,12,21,4,"B","K","Y","F",8,"H",10,1,"K","N",17,19,"Y",10,"A",2,40,8,6,"N","N","A",4,5
"508",1,2,19,4,"N","B","N","D",8,"B",15,1,"I","Y",90,12,"N",15,"A",2,37,18,3,"Y","Y","D",4,9
"514",11,14,10,2,"B","H","N","E",2,"J",15,3,"K","N",86,11,"N",13,"E",1,22,1,4,"Y","N","E",1,6
"519",1,19,18,1,"N","C","Y","D",12,"B",10,3,"I","N",29,13,"N",3,"C",2,40,21,6,"Y","N","E",2,1
"520",3,6,19,1,"B","I","Y","E",7,"H",15,1,"J","N",47,8,"N",8,"A",2,40,22,3,"N","N","D",3,2
"522",11,11,12,4,"N","K","N","E",2,"H",20,1,"N","Y",44,15,"N",9,"C",2,25,16,3,"Y","Y","C",2,1
"525",13,9,23,2,"E","C","Y","D",2,"L",15,1,"I","N",40,16,"Y",17,"A",1,40,18,5,"N","N","A",1,6
"529",5,9,2,1,"N","K","N","E",8,"H",20,1,"K","N",87,12,"Y",18,"A",2,37,18,7,"Y","N","C",2,6
"532",1,10,19,1,"N","H","Y","D",12,"L",10,2,"I","N",42,18,"N",4,"B",1,22,9,6,"Y","N","E",1,1
"535",1,10,9,5,"N","C","N","D",3,"L",15,3,"I","Y",59,14,"Y",8,"A",3,37,6,3,"Y","Y","E",3,2
"536",10,9,11,1,"B","H","N","B",3,"B",10,1,"C","N",71,10,"N",7,"B",2,34,18,4,"N","N","A",3,1
"541",2,6,17,2,"B","A","Y","D",2,"B",15,3,"B","N",85,7,"N",19,"A",1,40,7,1,"Y","N","E",1,1
"549",4,16,10,1,"N","B","N","D",8,"B",10,1,"I","Y",86,9,"N",5,"B",1,25,1,7,"Y","Y","E",1,1
"551",1,6,17,4,"N","K","Y","E",12,"H",10,1,"R","N",84,9,"N",20,"A",2,40,21,2,"N","N","A",2,10
"557",1,13,11,4,"W","C","Y","D",8,"A",5,1,"D","N",79,24,"Y",16,"B",1,40,16,4,"Y","N","E",1,1
"558",1,6,2,1,"B","I","N","E",8,"J",15,3,"K","Y",84,8,"Y",13,"A",4,40,23,6,"Y","Y","E",4,1
"561",1,4,7,5,"B","K","N","E",3,"J",15,3,"K","N",42,10,"N",11,"A",3,37,17,7,"Y","N","E",3,1
"575",2,6,14,2,"B","A","N","D",3,"L",15,1,"B","N",64,9,"N",8,"A",2,37,18,6,"Y","N","E",4,4
"577",1,3,18,4,"E","C","Y","D",3,"L",10,1,"A","N",40,14,"N",4,"C",1,34,22,7,"Y","N","E",1,1
"578",8,8,22,4,"N","K","N","E",12,"H",10,1,"K","N",51,13,"N",9,"A",3,34,2,6,"Y","N","C",3,4
"589",5,2,10,2,"N","A","N","D",2,"L",15,1,"E","N",40,16,"N",17,"A",2,28,1,6,"N","N","A",2,6
"598",1,9,19,2,"N","K","N","E",8,"H",20,1,"K","N",12,13,"N",16,"C",2,22,23,6,"Y","N","E",2,1
"606",4,11,13,2,"N","H","Y","E",8,"I",15,1,"L","N",39,11,"N",10,"B",2,31,16,6,"Y","N","E",2,1
"608",1,3,18,1,"B","I","N","E",3,"H",15,1,"K","N",94,15,"Y",12,"A",2,25,21,7,"N","N","A",2,8
"609",8,11,7,4,"N","H","N","E",3,"H",5,2,"M","N",76,18,"N",18,"B",1,22,14,1,"Y","N","E",1,1
"613",13,10,8,5,"N","A","N","D",8,"L",10,1,"A","N",24,10,"N",12,"A",2,28,1,7,"Y","N","E",2,2
"617",4,8,8,1,"N","C","N","D",12,"B",10,1,"I","N",44,12,"Y",6,"A",2,34,1,7,"Y","N","E",2,3
"627",1,7,18,3,"B","A","N","D",12,"B",20,3,"G","N",55,9,"N",22,"A",1,37,17,2,"Y","N","E",1,4
"633",1,2,18,1,"C","H","Y","E",7,"I",15,2,"R","N",52,14,"N",22,"B",2,40,24,5,"Y","N","E",2,1
"642",6,7,19,4,"N","A","Y","D",12,"B",10,2,"B","N",97,18,"N",10,"B",2,37,10,4,"Y","N","E",2,1
"654",8,6,2,1,"N","A","N","B",12,"B",10,1,"B","N",75,22,"N",6,"A",2,34,3,7,"Y","N","E",2,1
"655",1,10,23,2,"W","C","N","D",8,"L",15,3,"I","N",21,17,"Y",13,"A",3,40,18,6,"Y","N","E",3,6
"656",5,5,20,2,"C","K","N","E",8,"H",10,2,"R","Y",69,7,"N",12,"A",2,31,14,3,"Y","Y","E",2,2
"657",2,11,24,4,"N","C","N","D",8,"L",15,1,"A","N",75,18,"Y",6,"C",2,40,16,6,"Y","N","E",2,1
"662",6,11,19,5,"B","K","N","E",8,"H",20,1,"K","Y",87,15,"N",11,"C",1,31,1,2,"Y","Y","E",1,1
"663",1,2,12,2,"C","A","Y","C",2,"F",5,3,"I","Y",51,18,"Y",13,"A",1,40,23,6,"Y","N","E",1,1
"664",3,13,3,2,"N","H","N","D",12,"B",10,1,"A","N",45,15,"Y",7,"A",2,22,16,5,"N","N","A",5,5
"668",5,14,22,4,"E","H","Y","D",12,"E",10,1,"I","N",68,19,"N",10,"A",1,40,9,3,"N","N","E",2,3
"671",5,8,11,7,"N","C","Y","D",3,"B",10,1,"B","N",84,12,"N",14,"A",1,28,23,6,"Y","N","D",1,3
"674",9,11,19,7,"N","K","N","E",8,"H",20,1,"M","Y",87,23,"N",15,"C",2,37,17,6,"Y","Y","E",2,1
"679",10,3,7,3,"E","K","N","E",8,"H",15,3,"R","N",64,22,"N",6,"A",2,40,21,5,"Y","N","E",3,3
"680",1,9,18,2,"B","K","N","E",3,"H",15,1,"J","N",96,15,"N",16,"A",1,25,15,4,"Y","N","C",1,8
"685",5,9,18,2,"B","A","Y","D",7,"B",20,2,"B","N",52,14,"N",7,"B",2,37,2,7,"N","N","A",4,1
"686",2,15,17,1,"N","H","N","E",12,"H",10,1,"R","N",18,9,"Y",6,"B",2,34,3,6,"N","N","A",5,1
"687",4,5,8,5,"C","A","N","D",3,"B",15,1,"B","N",93,10,"N",3,"B",1,28,17,4,"Y","N","E",1,1
"695",1,3,16,9,"G","K","N","E",3,"H",20,1,"J","N",93,26,"Y",15,"A",1,28,18,2,"Y","N","D",1,11
"700",5,5,13,1,"C","K","N","F",12,"H",15,1,"K","Y",34,10,"N",4,"A",2,25,1,5,"Y","Y","E",2,3
"703",1,2,17,9,"C","K","Y","E",8,"H",20,2,"K","N",64,11,"N",6,"C",2,40,10,6,"Y","N","E",2,2
"704",4,7,18,1,"C","K","Y","E",3,"H",20,1,"R","N",64,6,"N",18,"A",2,40,12,7,"Y","N","E",2,5
"713",9,13,19,5,"N","K","N","E",3,"H",10,1,"K","N",53,22,"Y",11,"A",2,22,17,1,"N","N","E",4,7
"716",1,15,18,6,"N","H","Y","D",7,"B",20,1,"I","N",40,11,"N",7,"A",2,37,4,3,"N","N","A",2,2
"723",4,19,14,1,"N","K","Y","E",3,"I",5,2,"N","N",55,8,"N",5,"A",2,37,16,4,"N","N","A",6,2
"724",1,7,5,4,"S","K","N","E",12,"H",5,3,"R","N",53,7,"N",12,"A",2,40,16,5,"Y","N","D",2,2
"725",2,6,17,3,"B","E","Y","D",12,"L",20,1,"E","N",53,8,"Y",6,"B",1,40,5,6,"Y","N","E",1,1
"727",5,17,8,6,"N","H","N","E",8,"H",10,1,"J","N",44,7,"N",7,"B",1,31,15,7,"Y","N","E",1,1
"728",11,9,8,6,"N","H","N","E",3,"H",10,1,"N","N",76,16,"Y",3,"B",1,40,18,6,"Y","N","E",1,1
"730",1,6,3,2,"B","A","Y","D",3,"B",20,3,"B","Y",46,7,"Y",5,"A",2,40,1,6,"Y","Y","E",2,2
"734",4,9,17,5,"B","H","N","D",8,"B",15,1,"A","N",39,12,"N",13,"A",3,37,1,1,"Y","N","C",3,5
"736",2,12,1,1,"N","H","Y","G",12,"H",10,1,"M","N",46,20,"N",5,"B",2,40,9,5,"Y","N","E",3,1
"738",4,4,14,3,"N","K","N","E",3,"J",10,3,"K","Y",93,9,"Y",15,"A",2,40,23,7,"Y","Y","E",3,5
"741",1,13,23,3,"E","K","Y","F",3,"H",10,3,"K","N",41,21,"N",10,"A",5,34,3,4,"Y","N","D",6,4
"743",1,9,8,6,"N","H","N","D",12,"B",10,1,"B","N",68,10,"N",11,"A",2,40,20,5,"Y","N","E",4,6
"746",3,15,18,6,"H","K","N","E",3,"H",20,1,"K","Y",79,16,"N",20,"A",1,25,8,6,"N","Y","A",5,3
"751",2,16,1,1,"N","K","Y","E",12,"H",15,3,"R","N",44,11,"N",3,"A",3,22,1,4,"N","N","A",3,1
"768",1,19,16,2,"N","K","N","E",3,"H",15,2,"R","N",40,13,"N",12,"A",2,28,24,2,"Y","N","D",5,4
"776",1,2,18,1,"N","A","N","D",12,"L",20,1,"I","N",54,9,"Y",5,"A",3,37,24,5,"Y","N","D",4,3
"777",4,7,5,3,"B","A","N","D",7,"L",20,2,"I","N",48,9,"Y",8,"A",2,34,9,5,"Y","N","E",2,4
"787",2,5,19,3,"S","A","N","D",3,"A",15,3,"I","N",50,7,"Y",10,"B",2,37,1,4,"Y","N","C",2,1
"791",2,7,8,2,"B","I","N","E",8,"M",15,1,"J","Y",94,8,"N",9,"A",2,25,17,5,"Y","Y","C",3,3
"797",1,11,8,5,"N","H","N","D",8,"L",15,1,"I","N",13,21,"N",16,"A",5,37,1,1,"Y","N","E",5,3
"800",2,5,19,3,"C","B","N","D",3,"B",15,1,"I","Y",96,8,"N",17,"A",1,22,12,5,"N","Y","A",1,2
"802",7,12,21,5,"B","C","N","D",3,"A",15,1,"A","Y",51,23,"Y",9,"A",2,25,18,6,"Y","Y","E",3,3
"810",14,6,3,2,"B","I","N","E",3,"H",20,1,"K","Y",27,9,"N",7,"A",1,22,24,4,"Y","Y","E",1,2
"812",2,7,7,5,"N","K","Y","E",3,"H",20,2,"L","N",49,9,"Y",13,"A",1,37,7,5,"N","N","A",1,3
"817",4,3,17,4,"N","K","N","E",8,"J",10,1,"N","Y",96,17,"N",10,"A",3,34,18,6,"Y","Y","E",4,9
"822",1,5,3,2,"C","K","N","E",8,"H",15,4,"J","N",99,9,"N",18,"A",2,31,8,7,"Y","N","E",2,3
"825",2,7,15,3,"N","H","N","E",8,"H",20,1,"K","N",92,8,"N",2,"B",1,22,6,6,"Y","N","E",1,1
"845",1,9,7,5,"N","H","Y","F",12,"H",10,1,"R","N",81,9,"N",4,"B",2,37,17,7,"Y","N","E",2,1
"854",4,2,18,7,"N","H","N","E",7,"H",20,2,"R","N",60,13,"Y",4,"B",2,25,25,4,"Y","N","E",1,3
"858",1,11,23,3,"N","K","N","E",12,"H",20,1,"N","N",60,16,"Y",13,"A",7,34,20,5,"Y","N","C",7,9
"861",9,4,17,4,"B","A","N","D",8,"B",15,3,"I","N",35,7,"Y",8,"B",2,40,1,7,"N","N","A",4,5
"869",11,9,17,6,"E","H","N","B",8,"L",10,1,"C","N",98,18,"N",14,"A",2,22,9,7,"Y","N","E",2,8
"871",4,1,13,1,"C","A","N","D",2,"B",20,1,"B","N",43,14,"N",15,"A",2,28,22,4,"Y","N","D",2,1
"888",2,5,6,2,"B","A","N","D",8,"B",15,3,"B","N",27,9,"N",17,"A",1,28,10,5,"Y","N","E",1,1
"889",2,9,6,4,"N","H","N","E",8,"H",20,3,"K","N",36,12,"N",3,"B",2,40,3,7,"N","N","A",2,1
"890",1,2,5,2,"C","A","Y","D",8,"F",10,2,"B","N",45,18,"Y",10,"A",1,31,22,4,"Y","N","E",5,1
"892",2,9,17,4,"B","I","Y","E",8,"J",15,1,"R","Y",100,15,"N",20,"A",2,34,19,4,"Y","N","C",2,12
"904",1,4,9,1,"S","A","N","D",7,"B",5,2,"B","N",76,10,"Y",20,"A",2,31,25,7,"Y","N","E",2,4
"908",1,9,19,4,"B","H","Y","E",3,"J",15,1,"R","N",43,11,"N",10,"B",1,22,18,6,"Y","N","E",1,1
"913",4,5,14,2,"N","A","N","D",3,"D",10,2,"B","N",34,8,"N",2,"B",2,37,18,7,"N","N","A",2,1
"915",3,5,16,5,"B","A","Y","D",12,"B",15,1,"B","N",73,8,"N",11,"A",2,40,16,1,"Y","N","D",3,5
"930",1,11,21,5,"E","K","N","E",3,"H",15,1,"P","Y",58,17,"Y",6,"A",4,31,17,2,"Y","Y","D",7,5
"934",7,8,7,5,"N","K","N","F",3,"H",10,1,"K","N",62,11,"N",8,"C",2,31,6,7,"Y","N","E",5,1
"936",2,3,14,2,"N","H","N","D",12,"E",20,1,"B","N",72,14,"N",13,"A",2,40,14,6,"N","N","A",4,4
"937",6,9,17,3,"N","C","Y","D",8,"B",10,1,"B","N",85,10,"N",11,"A",2,37,4,7,"Y","N","C",2,7
"942",1,19,7,1,"B","H","Y","D",3,"B",10,3,"I","N",22,19,"N",7,"A",2,40,6,7,"Y","N","E",3,2
"946",1,4,5,4,"N","H","Y","D",12,"B",20,1,"B","N",91,13,"N",16,"A",2,40,18,4,"Y","N","E",2,4
"957",3,18,18,6,"B","C","Y","D",12,"B",15,1,"G","N",35,12,"N",5,"B",2,28,15,6,"N","N","A",2,1
"959",7,7,17,2,"B","A","N","D",8,"A",10,3,"I","N",60,9,"N",11,"A",2,40,1,5,"Y","N","E",2,2
"965",7,9,10,7,"B","C","N","B",12,"L",15,3,"B","N",57,17,"Y",5,"B",1,40,1,7,"N","N","A",1,1
"974",11,17,9,1,"B","I","N","E",12,"H",15,3,"K","N",52,8,"N",18,"A",1,28,20,1,"Y","N","E",1,12
