"","Hazard","T1_V1","T1_V2","T1_V3","T1_V4","T1_V5","T1_V6","T1_V9","T1_V10","T1_V11","T1_V13","T1_V14","T1_V16","T1_V17","T2_V1","T2_V2","T2_V3","T2_V4","T2_V5","T2_V6","T2_V7","T2_V9","T2_V10","T2_V11","T2_V12","T2_V13","T2_V14","T2_V15"
"53",6,9,16,6,"N","H","Y","D",8,"B",20,1,"B","N",44,11,"N",4,"B",2,25,19,4,"N","N","A",5,1
"55",1,14,17,2,"N","K","N","F",8,"H",15,1,"R","Y",83,19,"N",12,"A",6,22,4,7,"Y","Y","E",7,9
"56",6,7,16,3,"B","A","N","D",12,"B",20,1,"A","N",97,9,"N",17,"D",2,40,1,1,"N","N","E",2,4
"57",11,17,17,3,"B","B","Y","D",12,"B",10,3,"I","N",46,8,"N",13,"A",2,40,11,4,"Y","N","E",2,3
"58",1,15,22,4,"N","C","Y","D",8,"L",10,1,"I","N",52,9,"N",9,"A",2,40,1,4,"Y","N","C",3,6
"60",3,4,11,6,"S","A","N","D",8,"B",15,2,"G","N",76,10,"Y",8,"B",2,31,25,7,"Y","N","E",3,6
"61",13,8,10,3,"N","K","N","F",12,"H",15,1,"N","N",55,11,"Y",3,"C",1,25,23,5,"Y","N","E",1,1
"62",1,7,8,1,"B","A","Y","D",2,"A",5,2,"I","Y",85,11,"N",12,"B",2,40,3,1,"Y","Y","E",2,1
"63",1,10,20,3,"N","H","Y","D",3,"B",15,1,"I","N",35,24,"Y",14,"C",1,28,24,3,"Y","N","E",1,1
"65",2,12,17,2,"W","C","Y","D",12,"B",20,1,"B","N",40,10,"N",11,"A",3,37,1,7,"Y","N","E",3,1
"66",1,9,5,4,"N","A","Y","D",3,"B",10,2,"B","N",50,9,"Y",8,"B",1,31,16,1,"Y","N","E",1,1
"67",4,12,13,3,"N","H","Y","E",12,"H",15,1,"J","Y",92,12,"N",13,"B",2,34,1,3,"Y","Y","E",2,1
"68",1,12,18,5,"W","H","N","E",7,"J",15,1,"R","N",52,13,"Y",12,"B",2,40,11,4,"Y","N","E",2,1
"70",1,9,20,4,"N","K","Y","E",12,"H",15,3,"R","N",83,14,"N",14,"A",1,31,6,3,"Y","N","C",1,11
"71",4,13,18,4,"N","K","N","E",12,"I",5,1,"J","N",100,13,"Y",19,"A",2,37,14,1,"Y","N","E",2,6
"72",5,9,17,4,"N","K","Y","E",8,"H",10,1,"R","N",66,14,"N",8,"A",2,40,19,3,"N","N","A",5,2
"73",3,17,11,6,"S","K","Y","F",8,"J",15,2,"R","N",43,9,"N",12,"A",3,40,21,7,"Y","N","B",3,2
"75",4,8,18,4,"W","H","N","B",12,"L",20,1,"I","N",97,21,"N",16,"A",2,40,19,5,"Y","N","E",2,7
"76",2,6,12,7,"B","A","Y","D",3,"B",15,3,"B","Y",82,8,"N",5,"A",4,37,1,7,"Y","Y","E",6,4
"77",1,6,14,3,"B","A","Y","D",3,"B",15,3,"B","N",34,8,"Y",13,"A",4,31,21,5,"Y","N","D",5,11
"79",1,3,5,3,"N","B","Y","D",2,"B",10,1,"B","N",64,7,"Y",7,"A",2,28,16,2,"Y","N","D",7,2
"80",7,16,16,1,"B","H","N","E",8,"H",15,3,"R","N",30,10,"Y",10,"D",2,40,4,6,"Y","N","C",3,9
"81",6,7,18,1,"N","B","Y","D",8,"B",10,2,"I","N",66,9,"N",12,"A",2,22,21,6,"Y","N","E",2,6
"82",2,4,5,4,"N","K","Y","E",12,"J",10,1,"R","Y",82,9,"N",5,"A",2,37,23,6,"Y","Y","E",3,4
"83",1,8,20,6,"W","I","N","E",3,"J",20,1,"N","Y",80,13,"N",7,"A",2,37,9,4,"Y","Y","E",2,3
"85",11,7,15,2,"B","K","Y","E",3,"H",20,3,"N","N",97,8,"N",15,"A",2,37,18,3,"Y","N","E",2,1
"88",1,13,18,6,"N","H","Y","F",12,"J",15,2,"K","Y",47,14,"Y",16,"B",2,40,1,6,"Y","Y","D",2,1
"89",2,3,18,1,"N","B","Y","D",2,"L",10,1,"I","Y",62,10,"N",14,"C",2,31,16,4,"Y","Y","E",2,1
"90",7,13,20,4,"N","K","Y","E",7,"H",10,3,"K","N",92,17,"N",15,"A",1,34,13,3,"Y","N","E",1,10
"91",1,7,8,5,"H","A","N","D",3,"B",20,2,"B","N",67,6,"Y",3,"B",2,25,8,7,"N","N","A",2,1
"92",1,2,15,1,"C","K","Y","E",3,"J",10,2,"K","N",49,17,"N",16,"C",2,34,23,4,"Y","N","E",2,2
"93",18,7,17,1,"N","A","Y","D",8,"B",5,1,"I","N",13,5,"N",9,"A",2,40,20,6,"N","N","A",1,12
"94",1,19,3,2,"N","C","N","D",8,"B",20,2,"B","N",48,10,"N",5,"B",2,37,5,4,"N","N","A",5,1
"95",1,4,10,1,"N","A","Y","D",3,"A",15,3,"B","N",8,8,"N",6,"A",2,40,12,2,"Y","N","C",4,4
"96",8,18,15,4,"B","I","Y","E",8,"J",20,3,"K","N",38,10,"N",11,"A",1,40,2,7,"N","N","A",1,3
"97",10,19,16,5,"W","C","N","D",7,"B",20,1,"A","N",40,11,"N",8,"B",2,28,18,1,"N","N","A",3,5
"99",4,11,21,1,"N","K","Y","E",7,"H",20,3,"K","N",52,28,"N",12,"A",2,37,5,3,"Y","N","C",2,3
"100",2,7,5,3,"B","K","N","E",12,"M",10,3,"R","N",100,10,"Y",20,"A",2,22,17,4,"Y","N","C",2,4
"101",2,11,18,1,"N","K","N","E",3,"H",20,1,"K","N",41,13,"Y",16,"C",1,28,18,4,"Y","N","E",1,1
"102",11,5,12,3,"B","I","N","E",12,"J",20,1,"K","Y",100,5,"Y",18,"A",1,34,11,4,"Y","Y","E",1,11
"103",8,16,11,7,"N","H","N","E",3,"I",15,1,"R","N",11,6,"Y",3,"B",2,31,17,7,"N","N","A",2,1
"105",1,11,19,4,"N","C","N","D",3,"L",10,1,"A","N",61,16,"Y",10,"A",1,40,16,5,"N","N","A",1,4
"106",1,7,15,5,"E","H","N","E",3,"I",10,3,"K","N",61,11,"Y",3,"B",2,31,3,3,"N","N","E",2,1
"109",2,14,14,5,"N","A","N","D",3,"B",10,1,"I","Y",84,8,"N",4,"C",2,40,8,3,"Y","Y","E",2,3
"110",11,5,18,7,"S","I","N","E",3,"H",10,1,"J","N",36,9,"Y",5,"A",2,40,16,1,"Y","N","B",2,2
"113",1,12,21,4,"B","C","N","B",8,"E",20,1,"I","N",67,21,"Y",14,"A",2,37,15,6,"Y","N","E",2,11
"114",1,5,24,5,"N","D","Y","D",3,"E",15,1,"I","N",91,29,"N",8,"A",2,31,20,4,"Y","N","E",2,1
"115",4,9,24,3,"N","K","N","E",7,"H",15,1,"J","N",97,13,"N",17,"A",2,25,17,7,"N","N","A",2,10
"116",8,15,13,3,"E","K","Y","F",3,"H",10,2,"K","N",44,20,"N",6,"A",2,37,6,1,"Y","N","E",2,1
"117",17,14,15,8,"E","K","N","F",12,"H",20,2,"K","N",83,5,"N",8,"C",2,37,1,5,"Y","N","E",2,1
"119",1,15,18,2,"N","B","Y","D",3,"B",15,1,"B","N",49,9,"Y",13,"A",2,40,18,3,"Y","N","E",2,3
"120",1,18,15,2,"B","H","Y","D",3,"B",10,3,"B","N",26,13,"N",7,"A",2,22,17,2,"Y","N","E",2,2
"121",1,17,15,4,"N","H","N","E",8,"J",10,1,"K","N",45,10,"Y",4,"B",2,28,9,4,"N","N","A",5,1
"122",2,4,13,3,"W","K","N","E",8,"H",15,1,"J","Y",73,9,"Y",4,"C",2,31,15,7,"Y","Y","E",2,1
"123",2,14,19,5,"N","C","N","B",12,"B",10,1,"I","N",1,30,"N",16,"A",3,25,25,6,"Y","N","E",3,11
"124",1,19,1,1,"N","A","N","D",3,"B",15,3,"B","N",29,8,"Y",4,"B",2,31,20,5,"N","N","A",2,1
"125",4,10,21,4,"N","C","Y","D",8,"L",20,1,"D","N",24,22,"N",4,"C",1,34,4,7,"Y","N","E",1,1
"126",2,7,9,2,"E","A","N","D",12,"B",15,3,"B","N",49,9,"N",14,"A",2,28,16,3,"Y","N","E",2,5
"127",2,19,4,3,"E","A","Y","B",8,"L",10,2,"D","N",36,15,"N",15,"B",1,37,6,1,"N","N","A",1,1
"128",8,10,16,4,"N","H","Y","E",12,"H",10,1,"R","N",26,17,"N",4,"B",1,37,12,4,"Y","N","E",1,1
"129",1,8,8,3,"B","H","Y","D",8,"B",20,1,"B","N",25,13,"N",7,"B",2,31,18,4,"N","N","A",3,1
"130",4,8,12,2,"N","H","N","D",12,"L",15,1,"B","N",69,16,"N",6,"A",2,34,22,6,"Y","N","E",2,1
"136",7,14,11,8,"N","H","N","D",3,"A",20,3,"I","N",84,10,"Y",6,"A",2,34,2,6,"Y","N","E",3,3
"137",1,5,1,1,"C","K","N","F",3,"H",5,3,"L","N",100,8,"Y",3,"A",2,22,23,3,"Y","N","E",2,1
"139",1,1,20,2,"C","A","N","D",2,"L",20,3,"D","N",23,15,"Y",19,"A",3,31,21,7,"N","N","A",1,4
"140",1,8,5,3,"N","C","N","D",3,"B",5,1,"E","N",44,10,"Y",6,"A",2,40,18,5,"Y","N","C",4,3
"141",2,5,8,6,"B","A","N","D",3,"B",10,3,"B","Y",74,8,"Y",9,"A",4,40,15,6,"N","Y","E",6,1
"142",7,11,8,5,"N","K","N","E",3,"J",15,1,"J","N",77,16,"N",15,"A",1,40,20,5,"Y","N","E",1,2
"143",1,18,5,3,"N","A","N","D",2,"A",20,3,"A","N",33,8,"N",6,"A",2,40,25,2,"Y","N","E",1,1
"145",8,4,7,5,"N","K","N","F",7,"J",10,1,"J","N",39,10,"N",16,"A",1,28,16,6,"N","N","A",1,6
"146",18,16,8,6,"N","H","Y","E",7,"H",10,1,"K","N",78,10,"N",9,"E",3,34,1,1,"N","N","B",4,6
"147",6,14,18,2,"N","C","Y","D",12,"L",10,3,"I","Y",90,13,"Y",10,"C",2,31,18,7,"Y","Y","E",2,4
"148",4,18,11,1,"N","K","N","E",8,"J",10,3,"L","N",39,7,"Y",11,"A",1,37,6,3,"N","N","D",2,3
"149",2,18,3,2,"N","H","Y","E",2,"H",20,2,"K","N",42,8,"N",3,"E",2,40,8,3,"Y","N","E",1,3
"150",1,14,11,5,"E","K","Y","E",7,"H",10,1,"R","N",67,15,"Y",4,"A",2,22,19,6,"N","N","A",2,2
"151",10,15,4,3,"N","H","N","D",8,"B",10,1,"B","N",39,13,"N",9,"A",2,34,17,5,"Y","N","D",5,2
"152",2,5,17,4,"S","A","N","D",12,"A",10,1,"H","Y",58,9,"N",9,"C",2,37,6,1,"Y","Y","E",2,1
"153",1,19,7,5,"N","A","N","D",7,"B",15,3,"B","N",30,8,"N",6,"A",1,31,3,6,"Y","N","E",1,2
"154",4,13,2,2,"N","B","N","D",3,"L",20,1,"I","N",82,13,"Y",17,"E",1,40,1,7,"Y","N","E",1,3
"155",4,1,12,2,"C","A","Y","D",8,"F",5,1,"B","N",39,13,"N",19,"A",2,40,21,6,"Y","N","C",1,2
"156",4,13,20,4,"G","B","Y","D",3,"L",15,1,"D","N",79,16,"Y",11,"A",1,34,16,4,"Y","N","E",1,1
"157",13,13,22,4,"N","C","N","D",2,"L",20,3,"I","N",35,22,"Y",14,"E",2,40,1,3,"Y","N","C",2,1
"158",8,13,20,3,"N","C","N","D",3,"L",20,1,"A","N",59,18,"Y",9,"A",2,31,11,4,"Y","N","C",5,5
"159",18,8,5,1,"N","K","Y","E",12,"M",15,3,"R","N",13,13,"N",7,"A",3,28,21,5,"N","N","A",4,4
"161",4,17,4,3,"N","A","N","D",3,"B",15,3,"I","N",42,7,"Y",6,"B",1,37,4,2,"Y","N","E",1,1
"162",2,18,17,2,"B","I","Y","E",8,"J",15,1,"K","N",11,9,"Y",8,"A",2,40,14,7,"Y","N","E",3,1
"163",7,2,15,2,"N","K","N","E",8,"H",10,3,"K","N",59,10,"N",13,"A",4,37,25,4,"Y","N","E",1,1
"165",4,16,18,7,"N","A","Y","B",3,"B",10,1,"H","N",58,8,"Y",15,"A",1,34,12,7,"N","N","A",1,3
"166",2,4,7,2,"B","C","N","D",2,"B",10,3,"H","Y",40,12,"Y",10,"C",2,28,20,5,"Y","Y","E",2,10
"167",2,4,1,1,"N","B","Y","D",8,"B",15,1,"B","N",42,8,"N",14,"A",1,40,1,1,"Y","N","C",1,1
"168",5,8,22,2,"E","C","N","D",8,"L",15,1,"I","N",57,21,"N",15,"A",3,37,18,7,"Y","N","C",3,8
"171",3,3,4,3,"G","H","N","D",2,"L",10,1,"I","N",82,14,"N",9,"A",2,28,2,4,"Y","N","C",4,1
"172",1,3,4,3,"G","B","Y","D",8,"L",15,1,"E","N",85,11,"Y",12,"A",2,40,17,1,"Y","N","E",2,2
"173",1,4,7,5,"N","A","Y","D",8,"B",10,4,"I","N",86,8,"N",17,"A",1,25,12,3,"Y","N","C",1,2
"174",22,5,18,2,"C","K","Y","E",3,"H",10,1,"R","N",53,7,"Y",3,"A",3,31,21,4,"Y","N","E",3,2
"175",2,15,11,4,"N","K","Y","E",3,"H",15,1,"N","Y",85,10,"Y",10,"A",2,37,19,6,"Y","Y","C",4,5
"176",4,14,4,3,"N","K","Y","E",8,"H",10,3,"K","Y",87,14,"N",11,"A",1,31,1,4,"Y","Y","E",1,5
"177",8,10,11,4,"N","H","N","E",12,"J",20,1,"K","N",12,13,"N",10,"B",2,31,8,5,"Y","N","D",2,1
"178",2,11,23,1,"N","C","Y","D",7,"L",15,1,"I","Y",47,18,"Y",6,"A",4,34,2,3,"Y","Y","C",4,4
"179",7,8,17,3,"W","H","N","D",3,"B",20,1,"B","N",42,15,"N",4,"B",2,37,5,1,"N","N","A",2,1
"180",1,14,9,6,"N","K","N","E",8,"J",10,4,"R","N",69,9,"Y",9,"A",3,37,20,3,"N","N","A",4,6
"181",5,12,22,7,"N","C","N","D",12,"L",10,1,"F","Y",64,15,"Y",13,"C",1,40,1,4,"Y","Y","E",1,1
"183",1,7,4,3,"N","A","N","D",7,"B",5,0,"B","N",100,9,"Y",19,"A",2,37,8,6,"Y","N","E",2,1
"184",4,3,15,4,"N","A","N","D",8,"L",15,1,"A","N",77,8,"N",14,"A",2,25,20,7,"N","N","A",2,9
"185",4,10,1,1,"N","C","Y","B",7,"L",5,2,"I","N",24,15,"N",4,"B",2,40,1,5,"Y","N","E",2,1
"186",1,2,4,5,"C","A","N","D",12,"B",20,3,"C","N",46,10,"Y",11,"A",1,34,22,6,"Y","N","E",2,5
"187",1,17,18,4,"N","A","N","D",3,"B",10,1,"G","Y",97,8,"N",12,"A",1,31,13,7,"Y","Y","C",1,4
"188",5,7,3,2,"B","A","N","D",3,"B",15,3,"B","N",99,11,"N",21,"A",2,28,6,3,"Y","N","E",2,1
"189",8,8,23,4,"W","I","Y","E",8,"J",15,1,"R","N",77,15,"Y",6,"A",2,34,2,1,"Y","N","C",3,3
"190",7,14,20,1,"B","C","N","D",12,"B",10,1,"I","N",37,13,"N",4,"B",2,28,18,6,"Y","N","E",2,1
"191",5,9,20,1,"B","I","N","E",12,"H",15,3,"R","N",28,11,"N",4,"A",1,37,22,6,"Y","N","D",1,1
"192",1,6,3,2,"W","I","Y","E",3,"H",5,2,"N","Y",89,9,"Y",13,"A",2,31,20,3,"Y","Y","E",2,8
"193",4,5,3,2,"C","K","N","E",3,"H",10,3,"R","N",58,7,"N",5,"A",2,40,7,6,"Y","N","E",2,1
"194",2,14,19,4,"N","B","Y","D",8,"B",5,1,"I","N",34,13,"Y",3,"A",2,34,11,4,"Y","N","E",2,1
"195",10,9,12,2,"W","H","N","D",7,"A",10,1,"C","N",99,15,"Y",15,"A",2,34,9,1,"Y","N","E",2,9
"196",2,16,18,3,"N","K","Y","E",2,"H",20,1,"J","Y",98,9,"Y",9,"A",1,28,8,6,"Y","Y","E",1,2
"197",4,2,14,4,"C","K","N","E",12,"J",15,1,"N","N",98,6,"N",19,"A",2,40,17,3,"N","N","A",2,5
"198",4,8,20,2,"C","K","Y","E",12,"H",10,1,"J","N",99,18,"Y",17,"A",2,40,5,3,"Y","N","C",2,9
"199",1,8,17,2,"B","C","N","D",3,"L",10,3,"B","N",52,11,"Y",5,"C",2,37,18,1,"Y","N","C",2,1
"200",4,14,20,3,"N","C","N","D",8,"L",15,1,"I","Y",67,26,"N",5,"C",2,37,25,4,"Y","Y","E",2,1
"202",8,12,15,2,"N","H","Y","E",8,"H",10,1,"K","N",41,10,"N",14,"B",1,40,1,7,"Y","N","E",1,1
"203",1,18,3,2,"W","A","Y","D",7,"B",20,1,"I","N",63,6,"Y",3,"B",1,40,5,6,"N","N","B",1,1
"204",1,4,5,4,"N","H","Y","E",3,"H",15,1,"N","N",38,12,"Y",9,"B",2,22,11,1,"N","N","A",2,1
"205",1,9,19,4,"E","C","Y","D",12,"L",10,3,"E","N",66,13,"N",12,"A",2,25,6,1,"N","N","A",2,5
"206",2,3,12,2,"N","K","N","E",7,"H",15,1,"R","Y",93,10,"N",19,"A",7,31,20,2,"Y","Y","D",7,5
"207",7,12,11,7,"G","K","N","E",2,"H",15,1,"J","N",94,15,"Y",11,"A",2,31,21,6,"Y","N","D",4,8
"208",4,11,22,2,"N","C","N","D",3,"L",20,1,"I","Y",41,13,"Y",14,"A",1,31,12,7,"Y","Y","C",1,1
"209",1,18,12,7,"N","K","Y","E",12,"H",10,1,"K","N",26,10,"N",13,"A",1,25,16,6,"N","N","A",2,4
"211",1,19,5,3,"N","A","Y","D",7,"B",10,3,"E","N",24,10,"Y",7,"B",2,28,17,4,"N","N","A",2,1
"212",9,7,21,2,"E","D","Y","D",3,"B",15,3,"E","N",71,16,"Y",3,"B",2,22,17,2,"N","N","A",2,1
"214",1,15,11,1,"N","H","N","D",8,"A",20,3,"B","N",27,12,"N",6,"B",2,34,13,4,"N","N","A",2,1
"215",1,4,9,2,"N","B","Y","D",8,"B",15,1,"B","N",57,8,"N",3,"C",2,28,25,4,"Y","N","C",4,1
"216",1,15,1,1,"N","K","Y","E",12,"H",10,1,"R","N",30,16,"N",6,"A",2,40,20,4,"Y","N","E",2,1
"217",4,10,11,4,"N","K","N","E",12,"H",10,1,"J","N",13,18,"N",13,"A",2,37,11,3,"Y","N","E",3,3
"218",4,6,16,2,"S","I","Y","E",7,"H",20,1,"N","N",89,10,"Y",21,"A",2,40,21,4,"Y","N","E",2,11
"221",1,15,15,2,"N","C","Y","D",12,"B",20,1,"A","N",17,10,"Y",3,"B",2,22,18,1,"Y","N","E",5,1
"222",1,16,1,1,"N","K","N","E",12,"J",10,3,"R","N",35,12,"N",7,"C",1,40,8,6,"Y","N","E",1,1
"224",1,17,5,3,"N","K","Y","E",3,"J",15,3,"K","N",30,7,"N",5,"C",2,31,17,7,"Y","N","E",5,1
"225",1,8,13,3,"N","B","N","B",3,"B",10,1,"B","N",86,12,"N",5,"A",1,34,20,3,"N","N","A",1,2
"226",2,3,16,7,"C","C","Y","D",12,"B",5,1,"B","N",96,12,"N",17,"A",2,25,1,3,"Y","N","C",2,8
"227",6,19,7,5,"N","C","N","D",12,"B",10,1,"D","N",46,18,"N",10,"B",1,25,12,4,"N","N","A",1,1
"228",3,17,2,2,"H","K","N","E",8,"H",15,3,"K","N",52,8,"Y",22,"A",1,37,1,7,"Y","N","E",1,12
"230",8,17,4,1,"B","K","N","E",7,"J",20,2,"K","N",49,7,"N",17,"A",1,28,18,1,"N","N","A",3,12
"232",10,8,11,2,"N","C","N","D",8,"L",10,1,"I","Y",100,18,"N",16,"A",2,40,19,4,"Y","Y","E",4,4
"234",6,3,18,2,"N","K","N","E",3,"H",10,1,"R","N",44,13,"N",13,"A",2,28,16,5,"Y","N","E",2,11
"235",13,14,20,2,"N","K","Y","E",3,"J",10,1,"K","N",98,16,"N",12,"A",2,34,8,2,"Y","N","C",4,9
"236",11,13,19,4,"N","C","N","D",3,"B",15,1,"E","N",91,16,"N",15,"A",3,40,18,7,"Y","N","C",3,7
"237",1,15,2,2,"N","C","N","D",8,"B",20,1,"F","N",73,14,"Y",14,"B",2,34,8,6,"N","N","A",2,1
"238",10,6,18,6,"W","A","N","D",12,"E",20,1,"B","N",100,8,"N",15,"A",2,31,18,6,"N","N","E",2,11
"239",2,2,17,3,"C","A","N","B",7,"B",20,3,"B","N",52,15,"Y",13,"A",2,40,23,6,"Y","N","E",4,1
"241",2,17,6,4,"N","A","N","D",3,"B",20,1,"B","Y",78,8,"N",7,"A",2,25,14,4,"Y","Y","E",2,4
"242",1,6,15,3,"N","A","Y","D",12,"B",20,2,"I","N",51,7,"Y",12,"A",3,40,21,2,"Y","N","B",3,11
"243",5,8,17,2,"B","I","N","E",7,"H",10,1,"N","N",92,13,"N",17,"A",3,31,9,4,"Y","N","D",3,10
"244",5,7,15,2,"N","K","Y","E",8,"J",10,3,"N","Y",82,12,"N",14,"A",1,22,18,3,"Y","Y","C",3,9
"245",1,5,3,2,"C","B","Y","D",12,"B",15,3,"B","N",44,8,"Y",3,"B",2,37,7,6,"N","N","C",3,1
"249",4,19,5,3,"N","C","N","D",8,"B",20,1,"D","Y",84,14,"Y",12,"A",1,34,12,3,"Y","Y","E",2,4
"250",1,13,7,2,"N","C","N","B",3,"L",10,1,"I","N",65,19,"N",8,"A",2,37,6,1,"Y","N","E",2,2
"251",1,14,12,2,"N","K","Y","E",12,"M",10,3,"R","Y",48,10,"N",4,"C",2,40,8,4,"Y","Y","E",2,1
"252",1,19,3,2,"N","A","N","D",8,"B",10,3,"B","N",53,7,"N",10,"B",1,22,20,4,"N","N","A",3,1
"253",1,17,18,1,"B","A","Y","D",12,"B",10,1,"I","N",15,8,"N",3,"B",2,37,4,4,"N","N","A",3,1
"254",4,9,18,1,"B","I","N","E",8,"H",20,1,"K","N",93,17,"Y",16,"A",2,28,20,4,"Y","N","E",2,10
"255",7,19,3,2,"N","K","N","E",8,"H",10,1,"M","N",36,8,"N",2,"C",1,37,17,4,"Y","N","E",1,1
"256",1,5,10,7,"N","A","N","D",3,"B",15,3,"B","N",45,9,"N",10,"A",2,34,17,4,"Y","N","E",2,1
"258",1,18,6,4,"N","B","N","D",8,"B",5,1,"A","N",53,8,"N",4,"C",2,40,17,3,"Y","N","E",2,4
"259",3,10,2,1,"N","H","N","D",3,"E",10,1,"I","N",41,20,"N",10,"A",1,40,15,4,"N","N","C",3,2
